Id,Tire,Image
24254232333334,Standard,https://mario.wiki.gallery/images/thumb/a/a8/StandardTiresMK8.png/150px-StandardTiresMK8.png
42373322101016,Monster,https://mario.wiki.gallery/images/thumb/2/29/MonsterTiresMK8.png/150px-MonsterTiresMK8.png
06046030344440,Roller,https://mario.wiki.gallery/images/thumb/7/76/RollerTiresMK8.png/150px-RollerTiresMK8.png
22413324244345,Slim,https://mario.wiki.gallery/images/thumb/f/f8/SlimTiresMK8.png/150px-SlimTiresMK8.png
31402404020215,Slick,https://mario.wiki.gallery/images/thumb/d/dd/SlickTiresMK8.png/150px-SlickTiresMK8.png
40122431222106,Metal,https://mario.wiki.gallery/images/thumb/9/96/MetalTiresMK8.png/150px-MetalTiresMK8.png
05135122233423,Button,https://mario.wiki.gallery/images/thumb/0/07/ButtonTiresMK8.png/150px-ButtonTiresMK8.png
33363342111226,Off-Road,https://mario.wiki.gallery/images/thumb/2/25/Off-Road.png/150px-Off-Road.png
14265111421234,Sponge,https://mario.wiki.gallery/images/thumb/4/4c/SpongeTiresMK8.png/150px-SpongeTiresMK8.png
22413324244345,Wood,https://mario.wiki.gallery/images/thumb/0/03/WoodTiresMK8.png/150px-WoodTiresMK8.png
14265111421236,Cushion,https://mario.wiki.gallery/images/thumb/9/92/CushionTiresMK8.png/150px-CushionTiresMK8.png
24254232333334,Blue Standard,https://mario.wiki.gallery/images/thumb/d/db/Blue_Standard.png/150px-Blue_Standard.png
42373322101016,Hot Monster,https://mario.wiki.gallery/images/thumb/d/d1/HotMonsterTiresMK8.png/150px-HotMonsterTiresMK8.png
06046030344440,Azure Roller,https://mario.wiki.gallery/images/thumb/f/fe/AzureRollerTiresMK8.png/150px-AzureRollerTiresMK8.png
22413324244345,Crimson Slim,https://mario.wiki.gallery/images/thumb/7/71/CrimsonSlimTiresMK8.png/150px-CrimsonSlimTiresMK8.png
31402404020215,Cyber Slick,https://mario.wiki.gallery/images/thumb/2/29/CyberSlickTiresMK8.png/150px-CyberSlickTiresMK8.png
33363342111226,Retro Off-Road,https://mario.wiki.gallery/images/thumb/4/48/Retro_Off-Road.png/150px-Retro_Off-Road.png
40122431222105,Gold Tires,https://mario.wiki.gallery/images/thumb/5/52/Gold_Tires_MK8.png/150px-Gold_Tires_MK8.png
24254232333335,GLA Tires,https://mario.wiki.gallery/images/thumb/b/ba/GLATires-MK8.png/150px-GLATires-MK8.png
33363342111225,Triforce Tires,https://mario.wiki.gallery/images/thumb/9/9d/MK8-TriforceTires.png/150px-MK8-TriforceTires.png
05135122233423,Leaf Tires,https://mario.wiki.gallery/images/thumb/f/f9/Leaf_Tires_MK8.png/150px-Leaf_Tires_MK8.png
42373322101015,Ancient Tires,https://mario.wiki.gallery/images/thumb/d/d5/MK8D_Ancient_Tires.png/150px-MK8D_Ancient_Tires.png
